#VV_energy_vs_Ef	VV_edos	VV_edos_elph1000K
-7.69603037	0	0.0128121797807501
-7.69103037	0	0.0128400070730855
-7.68603037	0	0.0128679604727016
-7.68103037	0	0.0128960410406451
-7.67603037	0	0.0129242498519387
-7.67103037	0	0.0129525879958312
-7.66603037	0	0.0129810565760517
-7.66103037	0	0.0130096567110716
-7.65603037	0	0.0130383895343703
-7.65103037	0	0.0130672561947081
-7.64603037	0	0.0130962578564051
-7.64103037	0	0.0131253956996266
-7.63603037	0	0.0131546709206738
-7.63103037	0	0.0131840847322829
-7.62603037	0	0.01321363836393
-7.62103037	0	0.0132433330621428
-7.61603037	0	0.0132731700908206
-7.61103037	0	0.0133031507315608
-7.60603037	0	0.013333276283993
-7.60103037	0	0.0133635480661217
-7.59603037	0	0.0133939674146763
-7.59103037	0	0.0134245356854698
-7.58603037	0	0.0134552542537657
-7.58103037	0	0.0134861245146538
-7.57603037	0	0.0135171478834353
-7.57103037	0	0.0135483257960166
-7.56603037	0	0.0135796597093126
-7.56103037	0	0.0136111511016602
-7.55603037	0	0.0136428014732422
-7.55103037	0	0.0136746123465201
-7.54603037	0	0.0137065852666789
-7.54103037	0	0.0137387218020826
-7.53603037	0	0.0137710235447403
-7.53103037	0	0.013803492110785
-7.52603037	0	0.0138361291409629
-7.52103037	0	0.0138689363011364
-7.51603037	0	0.013901915282799
-7.51103037	0	0.0139350678036033
-7.50603037	0	0.0139683956079025
-7.50103037	0	0.0140019004673057
-7.49603037	0	0.0140355841812475
-7.49103037	0	0.0140694485775721
-7.48603037	0	0.0141034955131325
-7.48103037	0	0.0141377268744056
-7.47603037	0	0.014172144578123
-7.47103037	0	0.0142067505719182
-7.46603037	0	0.0142415468349916
-7.46103037	0	0.0142765353787916
-7.45603037	0	0.0143117182477158
-7.45103037	0	0.0143470975198291
-7.44603037	0	0.014382675307602
-7.44103037	0	0.0144184537586685
-7.43603037	0	0.0144544350566046
-7.43103037	0	0.0144906214217277
-7.42603037	0	0.0145270151119182
-7.42103037	0	0.0145636184234633
-7.41603037	0	0.0146004336919241
-7.41103037	0	0.0146374632930268
-7.40603037	0	0.0146747096435785
-7.40103037	0	0.0147121752024088
-7.39603037	0	0.0147498624713376
-7.39103037	0	0.0147877739961702
-7.38603037	0	0.0148259123677207
-7.38103037	0	0.0148642802228643
-7.37603037	0	0.0149028802456198
-7.37103037	0	0.0149417151682633
-7.36603037	0	0.0149807877724738
-7.36103037	0	0.015020100890512
-7.35603037	0	0.0150596574064334
-7.35103037	0	0.0150994602573376
-7.34603037	0	0.0151395124346525
-7.34103037	0	0.0151798169854591
-7.33603037	0	0.0152203770138528
-7.33103037	0	0.0152611956823473
-7.32603037	0	0.0153022762133197
-7.32103037	0	0.0153436218904991
-7.31603037	0	0.0153852360605005
-7.31103037	0	0.0154271221344052
-7.30603037	0	0.0154692835893887
-7.30103037	0	0.0155117239704005
-7.29603037	0	0.0155544468918927
-7.29103037	0	0.0155974560396054
-7.28603037	0	0.0156407551724049
-7.28103037	0	0.015684348124181
-7.27603037	0	0.0157282388058034
-7.27103037	0	0.0157724312071397
-7.26603037	0	0.0158169293991376
-7.26103037	0	0.0158617375359733
-7.25603037	0	0.0159068598572694
-7.25103037	0	0.0159523006903824
-7.24603037	0	0.0159980644527664
-7.24103037	0	0.016044155654412
-7.23603037	0	0.0160905789003652
-7.23103037	0	0.0161373388933293
-7.22603037	0	0.0161844404363519
-7.22103037	0	0.0162318884356013
-7.21603037	0	0.0162796879032355
-7.21103037	0	0.016327843960366
-7.20603037	0	0.0163763618401227
-7.20103037	0	0.0164252468908207
-7.19603037	0	0.0164745045792358
-7.19103037	0	0.0165241404939904
-7.18603037	0	0.016574160349056
-7.18103037	0	0.0166245699873763
-7.17603037	0	0.0166753753846143
-7.17103037	0	0.0167265826530309
-7.16603037	0	0.0167781980454978
-7.16103037	0	0.0168302279596511
-7.15603037	0	0.0168826789421915
-7.15103037	0	0.0169355576933354
-7.14603037	0	0.0169888710714254
-7.14103037	0	0.0170426260977042
-7.13603037	0	0.01709682996126
-7.13103037	0	0.0171514900241495
-7.12603037	0	0.0172066138267062
-7.12103037	0	0.0172622090930414
-7.11603037	0	0.0173182837367455
-7.11103037	0	0.0173748458667979
-7.10603037	0	0.0174319037936947
-7.10103037	0	0.0174894660358009
-7.09603037	0	0.0175475413259403
-7.09103037	0	0.0176061386182285
-7.08603037	0	0.0176652670951616
-7.08103037	0	0.0177249361749711
-7.07603037	0	0.017785155519255
-7.07103037	0	0.0178459350408968
-7.06603037	0	0.0179072849122852
-7.06103037	0	0.0179692155738453
-7.05603037	0	0.0180317377428962
-7.05103037	0	0.0180948624228469
-7.04603037	0	0.0181586009127448
-7.04103037	0	0.0182229648171926
-7.03603037	0	0.0182879660566474
-7.03103037	0	0.0183536168781176
-7.02603037	0	0.0184199298662762
-7.02103037	0	0.018486917955005
-7.01603037	0	0.0185545944393883
-7.01103037	0	0.0186229729881753
-7.00603037	0	0.0186920676567294
-7.00103037	0	0.0187618929004829
-6.99603037	0	0.0188324635889212
-6.99103037	0	0.0189037950201126
-6.98603037	0	0.0189759029358096
-6.98103037	0	0.019048803537142
-6.97603037	0	0.0191225135009247
-6.97103037	0	0.0191970499966054
-6.96603037	0	0.0192724307038748
-6.96103037	0	0.0193486738309653
-6.95603037	0	0.0194257981336632
-6.95103037	0	0.0195038229350595
-6.94603037	0	0.0195827681460673
-6.94103037	0	0.0196626542867303
-6.93603037	0	0.0197435025083502
-6.93103037	0	0.0198253346164598
