#  E (eV)   dosup(E)     dosdw(E)   Int dos(E)
 15.907  0.2265E-01  0.5818E+00  0.1114E+02
 16.007  0.6092E-02  0.5034E+00  0.1119E+02
 16.107  0.1593E-02  0.3329E+00  0.1122E+02
 16.207  0.2071E-02  0.1682E+00  0.1124E+02
 16.307  0.7980E-02  0.6506E-01  0.1125E+02
 16.407  0.2586E-01  0.2009E-01  0.1125E+02
 16.507  0.6417E-01  0.8830E-02  0.1126E+02
 16.607  0.1215E+00  0.1716E-01  0.1127E+02
 16.707  0.1757E+00  0.4564E-01  0.1130E+02
 16.807  0.1939E+00  0.9646E-01  0.1133E+02
 16.907  0.1633E+00  0.1559E+00  0.1136E+02
 17.007  0.1051E+00  0.1924E+00  0.1139E+02
 17.107  0.5213E-01  0.1812E+00  0.1141E+02
 17.207  0.2234E-01  0.1302E+00  0.1143E+02
 17.307  0.1741E-01  0.7150E-01  0.1143E+02
 17.407  0.3668E-01  0.3021E-01  0.1144E+02
 17.507  0.8104E-01  0.1119E-01  0.1145E+02
 17.607  0.1406E+00  0.9419E-02  0.1147E+02
 17.707  0.1866E+00  0.2401E-01  0.1149E+02
 17.807  0.1891E+00  0.5997E-01  0.1151E+02
 17.907  0.1463E+00  0.1162E+00  0.1154E+02
 18.007  0.8635E-01  0.1720E+00  0.1156E+02
 18.107  0.3891E-01  0.1943E+00  0.1159E+02
 18.207  0.1341E-01  0.1676E+00  0.1161E+02
 18.307  0.3761E-02  0.1103E+00  0.1162E+02
 18.407  0.2287E-02  0.5544E-01  0.1162E+02
 18.507  0.7865E-02  0.2132E-01  0.1163E+02
 18.607  0.2902E-01  0.6651E-02  0.1163E+02
 18.707  0.8282E-01  0.3925E-02  0.1164E+02
 18.807  0.1805E+00  0.1175E-01  0.1166E+02
 18.907  0.3002E+00  0.3997E-01  0.1169E+02
 19.007  0.3811E+00  0.1058E+00  0.1174E+02
 19.107  0.3693E+00  0.2137E+00  0.1180E+02
 19.207  0.2732E+00  0.3297E+00  0.1186E+02
 19.307  0.1542E+00  0.3882E+00  0.1191E+02
 19.407  0.6647E-01  0.3489E+00  0.1195E+02
 19.507  0.2187E-01  0.2393E+00  0.1198E+02
 19.607  0.5494E-02  0.1253E+00  0.1199E+02
 19.707  0.1085E-02  0.5009E-01  0.1200E+02
 19.807  0.4046E-03  0.1528E-01  0.1200E+02
 19.907  0.1475E-02  0.3559E-02  0.1200E+02
 20.007  0.6475E-02  0.6370E-03  0.1200E+02
 20.107  0.2194E-01  0.1284E-03  0.1200E+02
 20.207  0.5676E-01  0.3229E-03  0.1201E+02
 20.307  0.1121E+00  0.1769E-02  0.1202E+02
 20.407  0.1690E+00  0.7602E-02  0.1204E+02
 20.507  0.1945E+00  0.2494E-01  0.1206E+02
 20.607  0.1715E+00  0.6247E-01  0.1208E+02
 20.707  0.1183E+00  0.1194E+00  0.1211E+02
 20.807  0.7321E-01  0.1744E+00  0.1213E+02
 20.907  0.6463E-01  0.1950E+00  0.1216E+02
 21.007  0.9760E-01  0.1695E+00  0.1218E+02
 21.107  0.1522E+00  0.1234E+00  0.1221E+02
 21.207  0.1910E+00  0.9825E-01  0.1224E+02
 21.307  0.1844E+00  0.1160E+00  0.1227E+02
 21.407  0.1360E+00  0.1612E+00  0.1230E+02
 21.507  0.7665E-01  0.1935E+00  0.1233E+02
 21.607  0.3326E-01  0.1817E+00  0.1235E+02
